City_ID,City,Address,Latitude,Longitude,Housing,Cost_of_Living,Startups,Venture_Capital,Travel_Connectivity,Commute,Business_Freedom,Safety,Healthcare,Education,Environmental_Quality,Economy,Taxation,Internet_Access,Leisure,Tolerance,Outdoors
0,Aarhus,"Aarhus, Denmark, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality. ","Aarhus, Denmark",56.162939,10.203921000000001,6.1315,4.0150000000000015,2.8270000000000013,2.512,3.5360000000000005,6.31175,9.94,9.616500000000002,8.704333333333333,5.3665,7.633000000000001,4.886500000000002,5.0680000000000005,8.373,3.187,9.738500000000002,4.13
1,Adelaide,"Adelaide, Australia, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality. ","Adelaide SA, Australia",-34.9284989,138.6007456,6.3095,4.692,3.1365,2.64,1.7765000000000004,5.33625,9.399666666666667,7.926000000000001,7.9366666666666665,5.142,8.330750000000002,6.0695000000000014,4.5885,4.341,4.3285,7.822,5.5310000000000015
2,Albuquerque,"Albuquerque, New Mexico, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, environmental quality and tolerance. ","Albuquerque, NM, USA",35.0843859,-106.65042199999999,7.262,6.059,3.772,1.493,1.4555000000000002,5.05575,8.671,1.3435,6.429999999999999,4.151999999999999,7.3195,6.5145,4.346,5.396000000000001,4.8900000000000015,7.028499999999998,3.5155
3,Almaty,"Almaty, Kazakhstan, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, safety and taxation. ","Almaty, Kazakhstan",43.2220146,76.8512485,9.282,9.333,2.4585,0.0,4.592,5.871249999999999,5.568,7.309,4.5456666666666665,2.283,3.85675,5.269,8.522,2.886,2.9370000000000003,6.5395,5.499999999999999
4,Amsterdam,"Amsterdam is one of the most bike-friendly cities on the planet: It has more bikes than people and 63% of its residents use them for their daily commute.  It is also one of the best cities in Europe for starting and operating a business.  With its clean environment, cultural diversity and well-developed infrastructure, Amsterdam is a great place to live. Amsterdam is one of the top ten city matches for 20. 1% of Teleport users. ","Amsterdam, Netherlands",52.3666969,4.8945398,3.0529999999999995,3.8240000000000007,7.971500000000002,6.107,8.3245,6.1185,8.836666666666666,8.503500000000003,7.907333333333333,6.18,7.59725,5.053000000000001,4.954999999999999,4.5230000000000015,8.874,8.368,5.307
5,Anchorage,"Anchorage, Alaska, is characterized by a clean environment. Our data reflects that this city has a good ranking in business freedom and tolerance. ","Anchorage, AK, USA",61.2180556,-149.90027780000003,5.433500000000001,3.141,2.7945,0.0,1.7379999999999998,4.715249999999998,8.671,3.4704999999999995,6.0603333333333325,3.6245,9.272000000000002,6.5145,4.772,4.9645,3.2660000000000005,7.093,5.3580000000000005
6,Andorra,"Andorra features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in environmental quality, internet access and tolerance. ",Andorra,42.506285,1.521801,3.969,0.0,1.0,0.0,0.5,0.0,0.0,9.5535,0.0,0.0,7.256,0.0,4.475,7.186,2.1319999999999997,8.7035,3.5885
7,Ankara,"Ankara, Turkey, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and healthcare. Ankara is one of the top ten city matches for 0. 9% of Teleport users. ","Ankara, Turkey",39.9333635,32.859741899999996,9.927999999999999,9.125,3.9725000000000006,0.0,2.0475,5.291,5.948333333333332,7.4250000000000025,6.9143333333333326,2.0285,2.9360000000000004,4.0935000000000015,4.323499999999999,2.3160000000000003,8.638499999999999,4.485500000000001,5.1465
8,Asheville,"Asheville, North Carolina, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance. ","Asheville, NC, USA",35.5950581,-82.5514869,5.855999999999999,5.311,3.5405,0.0,1.2095,1.358,8.671,5.852500000000001,6.7253333333333325,3.6245,8.49325,6.5145,4.062,4.7875,5.063,7.7305,2.2655
9,Asuncion,"Asuncion, Paraguay, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, safety and taxation. ","Asunción, Paraguay",-25.263739899999997,-57.57592599999999,9.2265,9.295000000000002,2.207,0.0,0.645,4.968750000000001,3.6839999999999997,6.9345,5.485333333333332,0.0,3.969,4.109,8.423499999999999,1.479,5.991999999999999,7.051499999999999,3.4845000000000006
